Timestamp,Congestion Event,cwnd,sshthresh
2020-04-21 16:34:09.030512,,5110,2190
2020-04-21 16:34:09.030512,Triple Duplicate,1460,2555
2020-04-21 16:34:09.030513,,2555,2555
2020-04-21 16:34:09.030514,Triple Duplicate,1460,1460
2020-04-21 16:34:09.030514,,2920,1460
2020-04-21 16:34:09.030515,,4380,1460
2020-04-21 16:34:09.030516,Triple Duplicate,1460,2190
2020-04-21 16:34:09.030517,,2190,2190
2020-04-21 16:34:09.030517,,3650,2190
2020-04-21 16:34:09.030518,Triple Duplicate,1460,1825
2020-04-21 16:34:09.030519,,1825,1825
2020-04-21 16:34:09.030519,,3285,1825
2020-04-21 16:34:09.030520,Triple Duplicate,1460,1642
2020-04-21 16:34:09.030521,,1642,1642
2020-04-21 16:34:09.030522,,3102,1642
2020-04-21 16:34:09.030522,Triple Duplicate,1460,1551
2020-04-21 16:34:09.030523,,1551,1551
2020-04-21 16:34:09.030523,,3011,1551
2020-04-21 16:34:09.030524,Triple Duplicate,1460,1505
2020-04-21 16:34:09.030723,Retransmission,1460,1460
2020-04-21 16:34:09.030823,,2920,1460
2020-04-21 16:34:09.030824,,4380,1460
2020-04-21 16:34:09.030824,Triple Duplicate,1460,2190
2020-04-21 16:34:09.030825,,2190,2190
2020-04-21 16:34:09.030826,Triple Duplicate,1460,1460
2020-04-21 16:34:09.030826,,2920,1460
2020-04-21 16:34:09.030827,,4380,1460
2020-04-21 16:34:09.030828,,5840,1460
2020-04-21 16:34:09.030828,Triple Duplicate,1460,2920
2020-04-21 16:34:09.030829,,2920,2920
2020-04-21 16:34:09.030830,,4380,2920
2020-04-21 16:34:09.030830,Triple Duplicate,1460,2190
2020-04-21 16:34:09.030831,,2190,2190
2020-04-21 16:34:09.032791,Retransmission,1460,1460
2020-04-21 16:34:09.032899,,2920,1460
2020-04-21 16:34:09.032900,,4380,1460
2020-04-21 16:34:09.032901,Triple Duplicate,1460,2190
2020-04-21 16:34:09.032902,,2190,2190
2020-04-21 16:34:09.032902,,3650,2190
2020-04-21 16:34:09.032903,Triple Duplicate,1460,1825
2020-04-21 16:34:09.032904,,1825,1825
2020-04-21 16:34:09.032904,,3285,1825
2020-04-21 16:34:09.032905,Triple Duplicate,1460,1642
2020-04-21 16:34:09.032906,,1642,1642
2020-04-21 16:34:09.035350,Retransmission,1460,1460
2020-04-21 16:34:09.035505,,2920,1460
2020-04-21 16:34:09.035506,,4380,1460
2020-04-21 16:34:09.035507,Triple Duplicate,1460,2190
2020-04-21 16:34:09.035507,,2190,2190
2020-04-21 16:34:09.035508,,3650,2190
2020-04-21 16:34:09.035509,,5110,2190
2020-04-21 16:34:09.035509,Triple Duplicate,1460,2555
2020-04-21 16:34:09.035510,,2555,2555
2020-04-21 16:34:09.035511,Triple Duplicate,1460,1460
2020-04-21 16:34:09.035511,,2920,1460
2020-04-21 16:34:09.035512,,4380,1460
2020-04-21 16:34:09.035513,Triple Duplicate,1460,2190
2020-04-21 16:34:09.035513,,2190,2190
2020-04-21 16:34:09.036024,Retransmission,1460,1460
2020-04-21 16:34:09.036148,,2920,1460
2020-04-21 16:34:09.036149,,4380,1460
2020-04-21 16:34:09.036149,Triple Duplicate,1460,2190
2020-04-21 16:34:09.036150,,2190,2190
2020-04-21 16:34:09.036151,,3650,2190
2020-04-21 16:34:09.037675,Retransmission,1460,1825
2020-04-21 16:34:09.037863,,1825,1825
2020-04-21 16:34:09.037864,,3285,1825
2020-04-21 16:34:09.037865,Triple Duplicate,1460,1642
2020-04-21 16:34:09.037866,,1642,1642
2020-04-21 16:34:09.037866,,3102,1642
2020-04-21 16:34:09.037867,Triple Duplicate,1460,1551
2020-04-21 16:34:09.037867,,1551,1551
2020-04-21 16:34:09.037868,,3011,1551
2020-04-21 16:34:09.037869,Triple Duplicate,1460,1505
2020-04-21 16:34:09.037870,,1505,1505
2020-04-21 16:34:09.037870,,2965,1505
2020-04-21 16:34:09.037871,Triple Duplicate,1460,1482
2020-04-21 16:34:09.037872,,1482,1482
2020-04-21 16:34:09.037873,,2942,1482
2020-04-21 16:34:09.037873,Triple Duplicate,1460,1471
2020-04-21 16:34:09.037874,,1471,1471
2020-04-21 16:34:09.037875,,2931,1471
2020-04-21 16:34:09.037875,Triple Duplicate,1460,1465
2020-04-21 16:34:09.037876,,1465,1465
2020-04-21 16:34:09.037876,,2925,1465
2020-04-21 16:34:09.037877,Triple Duplicate,1460,1462
2020-04-21 16:34:09.037878,,1462,1462
2020-04-21 16:34:09.038174,Retransmission,1460,1460
2020-04-21 16:34:09.038305,,2920,1460
2020-04-21 16:34:09.038306,,4380,1460
2020-04-21 16:34:09.038306,Triple Duplicate,1460,2190
2020-04-21 16:34:09.038307,,2190,2190
2020-04-21 16:34:09.038308,,3650,2190
2020-04-21 16:34:09.038308,Triple Duplicate,1460,1825
2020-04-21 16:34:09.038309,,1825,1825
2020-04-21 16:34:09.038310,,3285,1825
2020-04-21 16:34:09.038310,Triple Duplicate,1460,1642
2020-04-21 16:34:09.038311,,1642,1642
2020-04-21 16:34:09.038312,,3102,1642
2020-04-21 16:34:09.038312,Triple Duplicate,1460,1551
2020-04-21 16:34:09.038313,,1551,1551
2020-04-21 16:34:09.038314,,3011,1551
2020-04-21 16:34:09.038314,Triple Duplicate,1460,1505
2020-04-21 16:34:09.103512,Retransmission,1460,1460
2020-04-21 16:34:09.103653,,2920,1460
2020-04-21 16:34:09.103654,,4380,1460
2020-04-21 16:34:09.103655,Triple Duplicate,1460,2190
2020-04-21 16:34:09.103655,,2190,2190
2020-04-21 16:34:09.103656,,3650,2190
2020-04-21 16:34:09.103656,Triple Duplicate,1460,1825
2020-04-21 16:34:09.103657,,1825,1825
2020-04-21 16:34:09.103658,,3285,1825
