Timestamp,Event,cwnd,sstresh,Phase
2020-04-21 16:34:01.832207,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.832208,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.832208,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.832209,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.832210,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.832210,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.832211,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.832211,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.832212,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.832212,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.938189,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.938334,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.938335,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.938337,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.938337,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.938338,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.938340,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.938340,,1825,1825,Congestion Avoidance
2020-04-21 16:34:01.938341,,3285,1825,Congestion Avoidance
2020-04-21 16:34:01.938342,Triple Duplicate,6022,1642,Fast Recovery
2020-04-21 16:34:01.938343,,1642,1642,Congestion Avoidance
2020-04-21 16:34:01.938345,,3102,1642,Congestion Avoidance
2020-04-21 16:34:01.938346,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:01.938347,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.939455,Retransmission,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.939574,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.939574,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.939575,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.939577,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.939577,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.939579,Triple Duplicate,6205,1825,Fast Recovery
2020-04-21 16:34:01.941894,Retransmission,1460,3102,Slow Start
2020-04-21 16:34:01.942058,,2920,3102,Slow Start
2020-04-21 16:34:01.942059,,3102,3102,Congestion Avoidance
2020-04-21 16:34:01.942060,Triple Duplicate,5931,1551,Fast Recovery
2020-04-21 16:34:01.942061,,1551,1551,Congestion Avoidance
2020-04-21 16:34:01.942062,,3011,1551,Congestion Avoidance
2020-04-21 16:34:01.942063,Triple Duplicate,5885,1505,Fast Recovery
2020-04-21 16:34:01.942064,,1505,1505,Congestion Avoidance
2020-04-21 16:34:01.942065,,2965,1505,Congestion Avoidance
2020-04-21 16:34:01.942066,Triple Duplicate,5862,1482,Fast Recovery
2020-04-21 16:34:01.942066,,1482,1482,Congestion Avoidance
2020-04-21 16:34:01.942068,,2942,1482,Congestion Avoidance
2020-04-21 16:34:01.942068,Triple Duplicate,5851,1471,Fast Recovery
2020-04-21 16:34:01.942069,,1471,1471,Congestion Avoidance
2020-04-21 16:34:01.942070,,2931,1471,Congestion Avoidance
2020-04-21 16:34:01.942071,Triple Duplicate,5845,1465,Fast Recovery
2020-04-21 16:34:01.942072,,1465,1465,Congestion Avoidance
2020-04-21 16:34:01.942073,,2925,1465,Congestion Avoidance
2020-04-21 16:34:01.942074,Triple Duplicate,5842,1462,Fast Recovery
2020-04-21 16:34:01.942075,,1462,1462,Congestion Avoidance
2020-04-21 16:34:01.942075,,2922,1462,Congestion Avoidance
2020-04-21 16:34:01.943282,Retransmission,1460,1461,Slow Start
2020-04-21 16:34:01.943411,,1461,1461,Congestion Avoidance
2020-04-21 16:34:01.943413,Triple Duplicate,5840,1460,Fast Recovery
2020-04-21 16:34:01.943413,,1460,1460,Congestion Avoidance
2020-04-21 16:34:01.943415,,2920,1460,Congestion Avoidance
2020-04-21 16:34:01.943415,,4380,1460,Congestion Avoidance
2020-04-21 16:34:01.943416,Triple Duplicate,6570,2190,Fast Recovery
2020-04-21 16:34:01.943417,,2190,2190,Congestion Avoidance
2020-04-21 16:34:01.943418,,3650,2190,Congestion Avoidance
2020-04-21 16:34:01.945530,Retransmission,1460,1825,Slow Start
2020-04-21 16:34:01.945727,,1825,1825,Congestion Avoidance
